program_name,level,mode,program_url
BS Artificial Intelligence,Undergraduate,M,https://www.iub.edu.pk/program/97
BS Computer Science,Undergraduate,M,https://www.iub.edu.pk/program/93
BS Cyber Security and Digital Forensics,Undergraduate,M,https://www.iub.edu.pk/program/316
BS Data Science,Undergraduate,M,https://www.iub.edu.pk/program/267
BS Intelligent Systems and Robotics,Undergraduate,M,https://www.iub.edu.pk/program/327
BS Biomedical Engineering Technology,Undergraduate,M,https://www.iub.edu.pk/program/315
BS Electrical Engineering,Undergraduate,M,https://www.iub.edu.pk/program/178
BS Electronic Engineering,Undergraduate,M,https://www.iub.edu.pk/program/179
BS Telecommunication Engineering,Undergraduate,M,https://www.iub.edu.pk/program/180
BS Computer System Engineering,Undergraduate,M,https://www.iub.edu.pk/program/181
BS Information Technology,Undergraduate,M,https://www.iub.edu.pk/program/95
BS Software Engineering,Undergraduate,M,https://www.iub.edu.pk/program/100
BS Information Security,Undergraduate,M,https://www.iub.edu.pk/program/265
BS Internet of Things,Undergraduate,M,https://www.iub.edu.pk/program/321
BS Networks and Telecommunication,Undergraduate,M,https://www.iub.edu.pk/program/434
